epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4999.56,0.9883,1.00759,1.41807,0.75101,0.62509,0.70965,0.50144,1.0283,1.07679,1.47657,0.005842,0.005842,0.005842
44,5119.27,0.96524,0.99295,1.4058,0.69537,0.67078,0.70972,0.50615,1.02208,1.06296,1.44746,0.005743,0.005743,0.005743
45,5231.36,0.97983,0.99976,1.39449,0.75591,0.65056,0.71682,0.51461,1.0016,1.04759,1.44361,0.005644,0.005644,0.005644
46,5348.92,0.96001,0.96378,1.38383,0.72243,0.64754,0.6925,0.49564,1.02074,1.10422,1.44058,0.005545,0.005545,0.005545
47,5464.74,0.95571,0.97684,1.37894,0.72473,0.65475,0.70566,0.50533,1.01168,1.06593,1.46959,0.005446,0.005446,0.005446
48,5574.86,0.9657,0.95218,1.37089,0.753,0.62749,0.70759,0.51157,1.01507,1.09086,1.47806,0.005347,0.005347,0.005347
49,5685.53,0.94481,0.93083,1.3651,0.75847,0.6326,0.72309,0.51665,1.00038,1.04578,1.44663,0.005248,0.005248,0.005248
50,5800.27,0.95111,0.94878,1.37251,0.73056,0.63902,0.70573,0.51606,1.01717,1.0644,1.45999,0.005149,0.005149,0.005149
51,5916.56,0.94639,0.93465,1.3677,0.75602,0.67826,0.73905,0.52525,1.03783,1.00825,1.48094,0.00505,0.00505,0.00505
52,6031.85,0.93501,0.92876,1.37231,0.74826,0.63762,0.70122,0.50462,1.00599,1.0773,1.46211,0.004951,0.004951,0.004951
53,6145.37,0.9263,0.91052,1.35297,0.77455,0.62827,0.71434,0.50786,1.03436,1.05627,1.48672,0.004852,0.004852,0.004852
54,6257.51,0.93198,0.89924,1.35707,0.72148,0.68384,0.73458,0.5301,0.99674,0.99711,1.44314,0.004753,0.004753,0.004753
55,6380.08,0.91849,0.89287,1.35784,0.74977,0.6649,0.72566,0.52492,1.00558,1.01301,1.47539,0.004654,0.004654,0.004654
56,6494.16,0.9306,0.89564,1.36585,0.74696,0.64937,0.71887,0.51815,1.00969,1.03786,1.46717,0.004555,0.004555,0.004555
57,6602.49,0.91705,0.88493,1.33989,0.77628,0.64469,0.7284,0.52234,1.03897,1.02491,1.48273,0.004456,0.004456,0.004456
58,6716.64,0.89915,0.85864,1.33522,0.76792,0.65711,0.71286,0.51327,1.02599,1.04349,1.48504,0.004357,0.004357,0.004357
59,6828.02,0.89617,0.85332,1.32641,0.75169,0.65401,0.71979,0.51944,1.01204,1.02016,1.47246,0.004258,0.004258,0.004258
60,6944.35,0.89627,0.84893,1.34232,0.7517,0.64065,0.70895,0.51273,1.01381,1.0638,1.47151,0.004159,0.004159,0.004159
61,7061.46,0.89204,0.8476,1.34207,0.72195,0.66045,0.71189,0.52301,0.99108,1.04116,1.4553,0.00406,0.00406,0.00406
62,7181.82,0.88833,0.84395,1.32406,0.76914,0.63407,0.71524,0.52808,0.9773,1.04164,1.43925,0.003961,0.003961,0.003961
63,7299.52,0.89546,0.82828,1.32819,0.78049,0.61999,0.70724,0.51684,0.99218,1.05101,1.44747,0.003862,0.003862,0.003862
64,7415.37,0.87393,0.81307,1.31888,0.76393,0.63496,0.72142,0.52672,0.99428,1.02829,1.44296,0.003763,0.003763,0.003763
65,7525.89,0.86868,0.80274,1.31191,0.77413,0.63162,0.71109,0.51465,1.03296,1.07373,1.47614,0.003664,0.003664,0.003664
66,7642.45,0.85677,0.80258,1.30323,0.76465,0.64708,0.71891,0.52311,0.99466,1.01511,1.44473,0.003565,0.003565,0.003565
67,7765.13,0.86496,0.78859,1.32027,0.73952,0.65876,0.71756,0.52855,0.98964,1.04071,1.43429,0.003466,0.003466,0.003466
68,7882.03,0.84857,0.77876,1.29998,0.73968,0.66315,0.72885,0.53694,0.97538,1.03131,1.43711,0.003367,0.003367,0.003367
69,7998.07,0.85985,0.77991,1.30485,0.74997,0.62759,0.71202,0.52778,0.99138,1.05206,1.43543,0.003268,0.003268,0.003268
70,8113.29,0.86331,0.77701,1.2968,0.79019,0.63267,0.71624,0.52485,0.98651,1.02996,1.43138,0.003169,0.003169,0.003169
71,8232.11,0.82105,0.75277,1.28232,0.77532,0.63986,0.7334,0.53609,0.98462,1.01857,1.4281,0.00307,0.00307,0.00307
72,8347.74,0.83378,0.74526,1.28704,0.74618,0.67136,0.7318,0.53729,1.00295,1.03605,1.45711,0.002971,0.002971,0.002971
73,8460.71,0.83114,0.73953,1.2794,0.72653,0.67084,0.72348,0.53227,0.98607,1.02447,1.43215,0.002872,0.002872,0.002872
74,8569.84,0.82445,0.74275,1.27004,0.74435,0.66075,0.73031,0.53071,1.00472,1.00481,1.45342,0.002773,0.002773,0.002773
75,8679.93,0.82092,0.7244,1.26132,0.81407,0.61482,0.72241,0.53304,0.98347,1.02755,1.45438,0.002674,0.002674,0.002674
76,8797.5,0.82117,0.73756,1.2654,0.81257,0.62441,0.72201,0.53297,0.98358,1.01398,1.45588,0.002575,0.002575,0.002575
77,8911.24,0.82333,0.73279,1.26928,0.72167,0.6675,0.71856,0.53375,0.97239,1.03232,1.44591,0.002476,0.002476,0.002476
78,9025.14,0.81008,0.72301,1.26702,0.75221,0.63584,0.70925,0.52831,0.97877,1.041,1.44757,0.002377,0.002377,0.002377
79,9137.05,0.81497,0.70117,1.26926,0.78146,0.63941,0.71366,0.5288,0.97777,1.05626,1.45245,0.002278,0.002278,0.002278
80,9250.61,0.79423,0.70309,1.25173,0.74762,0.65773,0.71822,0.53021,0.99223,1.03927,1.44395,0.002179,0.002179,0.002179
81,9361.56,0.79676,0.68724,1.24879,0.73309,0.66466,0.72642,0.52893,1.00648,1.03596,1.45925,0.00208,0.00208,0.00208
82,9475.36,0.7817,0.68797,1.24699,0.74335,0.6692,0.72623,0.53333,1.00959,1.01875,1.47082,0.001981,0.001981,0.001981
83,9590.98,0.78929,0.69395,1.26121,0.71395,0.68347,0.73113,0.54093,0.98976,1.01,1.45992,0.001882,0.001882,0.001882
84,9707,0.79133,0.69468,1.25681,0.7648,0.65753,0.72793,0.53539,0.9982,1.00675,1.47427,0.001783,0.001783,0.001783
85,9825.52,0.77634,0.66775,1.24933,0.77066,0.65958,0.73217,0.53778,0.9898,1.00627,1.45804,0.001684,0.001684,0.001684
86,9936.78,0.77871,0.67425,1.2399,0.79273,0.63149,0.71858,0.52956,0.99826,1.0336,1.45818,0.001585,0.001585,0.001585
87,10053.3,0.7754,0.66487,1.23609,0.79129,0.6353,0.72565,0.5362,0.97946,0.99902,1.44845,0.001486,0.001486,0.001486
88,10163.5,0.76597,0.65721,1.22757,0.78384,0.63478,0.71527,0.52675,1.00151,1.04004,1.46706,0.001387,0.001387,0.001387
89,10275.7,0.75532,0.62923,1.23363,0.7778,0.63873,0.7303,0.53575,1.00656,1.01939,1.46821,0.001288,0.001288,0.001288
90,10393.3,0.75275,0.64517,1.2226,0.76245,0.65071,0.72097,0.52967,1.01278,1.05483,1.48499,0.001189,0.001189,0.001189
91,10509.6,0.65928,0.519,1.17679,0.76749,0.65661,0.72926,0.53888,1.00187,1.01034,1.46829,0.00109,0.00109,0.00109
92,10626.6,0.65624,0.50511,1.16835,0.78384,0.63237,0.71551,0.52841,1.00969,1.03601,1.48542,0.000991,0.000991,0.000991
93,10739.6,0.65522,0.48175,1.15809,0.75613,0.65971,0.72665,0.53836,1.00042,1.02088,1.48158,0.000892,0.000892,0.000892
94,10856.6,0.63701,0.48775,1.16455,0.75864,0.65806,0.72964,0.53749,0.98898,1.01067,1.47943,0.000793,0.000793,0.000793
95,10970.7,0.63815,0.48766,1.1629,0.75469,0.66433,0.73109,0.535,1.01681,1.02325,1.49518,0.000694,0.000694,0.000694
96,11089.8,0.62744,0.4691,1.15439,0.74733,0.66582,0.73286,0.54225,0.99769,1.02322,1.46649,0.000595,0.000595,0.000595
97,11205,0.61583,0.44499,1.13494,0.79677,0.6341,0.72517,0.53525,1.0035,1.03135,1.47945,0.000496,0.000496,0.000496
98,11318.9,0.61653,0.4533,1.13385,0.753,0.66099,0.72268,0.53408,0.99416,1.0418,1.47591,0.000397,0.000397,0.000397
99,11432.5,0.61511,0.44482,1.12919,0.76645,0.64729,0.72157,0.53241,1.00182,1.05187,1.47632,0.000298,0.000298,0.000298
100,11547.1,0.60961,0.45038,1.12803,0.77077,0.65438,0.72311,0.53204,1.00809,1.04412,1.48401,0.000199,0.000199,0.000199
